field,title,link,desc
Platforms,Node-RED,https://github.com/naimo84/awesome-nodered#readme,"A programming tool for wiring together hardware devices, APIs, and online services."
Platforms,Low Code,https://github.com/zenitysec/awesome-low-code#readme,Allowing business professionals to address their needs on their own with little to no coding skills.
Platforms,Capacitor,https://github.com/riderx/awesome-capacitor#readme,Cross-platform open source runtime for building Web Native apps.
Platforms,ArcGIS Developer,https://github.com/Esri/awesome-arcgis-developer#readme,Mapping and location analysis platform for developers.
Programming Languages,JavaScript,https://github.com/sorrycc/awesome-javascript#readme,JavaScript
Programming Languages,Swift,https://github.com/matteocrippa/awesome-swift#readme,"Apple's compiled programming language that is secure, modern, programmer-friendly, and fast."
Programming Languages,Python,https://github.com/vinta/awesome-python#readme,General-purpose programming language designed for readability.
Programming Languages,Rust,https://github.com/rust-unofficial/awesome-rust#readme,Rust
Programming Languages,Haskell,https://github.com/krispo/awesome-haskell#readme,Haskell
Programming Languages,PureScript,https://github.com/passy/awesome-purescript#readme,PureScript
Programming Languages,Go,https://github.com/avelino/awesome-go#readme,Go
Programming Languages,Scala,https://github.com/lauris/awesome-scala#readme,Scala
Programming Languages,Ruby,https://github.com/markets/awesome-ruby#readme,Ruby
Programming Languages,Clojure,https://github.com/razum2um/awesome-clojure#readme,Clojure
Programming Languages,ClojureScript,https://github.com/hantuzun/awesome-clojurescript#readme,ClojureScript
Programming Languages,Elixir,https://github.com/h4cc/awesome-elixir#readme,Elixir
Programming Languages,Elm,https://github.com/sporto/awesome-elm#readme,Elm
Programming Languages,Erlang,https://github.com/drobakowski/awesome-erlang#readme,Erlang
Programming Languages,Julia,https://github.com/svaksha/Julia.jl#readme,High-level dynamic programming language designed to address the needs of high-performance numerical analysis and computational science.
Programming Languages,Lua,https://github.com/LewisJEllis/awesome-lua#readme,Lua
Programming Languages,C,https://github.com/inputsh/awesome-c#readme,C
Programming Languages,C/C++,https://github.com/fffaraz/awesome-cpp#readme,"General-purpose language with a bias toward system programming and embedded, resource-constrained software."
Programming Languages,R,https://github.com/qinwf/awesome-R#readme,Functional programming language and environment for statistical computing and graphics.
Programming Languages,D,https://github.com/dlang-community/awesome-d#readme,D
Programming Languages,Common Lisp,https://github.com/CodyReichert/awesome-cl#readme,Powerful dynamic multiparadigm language that facilitates iterative and interactive development.
Programming Languages,Perl,https://github.com/hachiojipm/awesome-perl#readme,Perl
Programming Languages,Groovy,https://github.com/kdabir/awesome-groovy#readme,Groovy
Programming Languages,Dart,https://github.com/yissachar/awesome-dart#readme,Dart
Programming Languages,Java,https://github.com/akullpp/awesome-java#readme,"Popular secure object-oriented language designed for flexibility to ""write once, run anywhere""."
Programming Languages,Kotlin,https://github.com/KotlinBy/awesome-kotlin#readme,Kotlin
Programming Languages,OCaml,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml
Programming Languages,ColdFusion,https://github.com/seancoyne/awesome-coldfusion#readme,ColdFusion
Programming Languages,Fortran,https://github.com/rabbiabram/awesome-fortran#readme,Fortran
Programming Languages,PHP,https://github.com/ziadoz/awesome-php#readme,Server-side scripting language.
Programming Languages,Pascal,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal
Programming Languages,AutoHotkey,https://github.com/ahkscript/awesome-AutoHotkey#readme,AutoHotkey
Programming Languages,AutoIt,https://github.com/J2TeaM/awesome-AutoIt#readme,AutoIt
Programming Languages,Crystal,https://github.com/veelenga/awesome-crystal#readme,Crystal
Programming Languages,Frege,https://github.com/sfischer13/awesome-frege#readme,Haskell for the JVM.
Programming Languages,CMake,https://github.com/onqtam/awesome-cmake#readme,"Build, test, and package software."
Programming Languages,ActionScript 3,https://github.com/robinrodricks/awesome-actionscript3#readme,Object-oriented language targeting Adobe AIR.
Programming Languages,Eta,https://github.com/sfischer13/awesome-eta#readme,Functional programming language for the JVM.
Programming Languages,Idris,https://github.com/joaomilho/awesome-idris#readme,General purpose pure functional programming language with dependent types influenced by Haskell and ML.
Programming Languages,Ada/SPARK,https://github.com/ohenley/awesome-ada#readme,"Modern programming language designed for large, long-lived apps where reliability and efficiency are essential."
Programming Languages,Q#,https://github.com/ebraminio/awesome-qsharp#readme,Domain-specific programming language used for expressing quantum algorithms.
Programming Languages,Imba,https://github.com/koolamusic/awesome-imba#readme,Programming language inspired by Ruby and Python and compiles to performant JavaScript.
Programming Languages,Vala,https://github.com/desiderantes/awesome-vala#readme,"Programming language designed to take full advantage of the GLib and GNOME ecosystems, while preserving the speed of C code."
Programming Languages,Coq,https://github.com/coq-community/awesome-coq#readme,Formal language and environment for programming and specification which facilitates interactive development of machine-checked proofs.
Programming Languages,V,https://github.com/vlang/awesome-v#readme,"Simple, fast, safe, compiled language for developing maintainable software."
Programming Languages,Zig,https://github.com/catdevnull/awesome-zig#readme,"General-purpose programming language and toolchain for maintaining robust, optimal, and reusable software."
Programming Languages,Move,https://github.com/MystenLabs/awesome-move#readme,Domain-specific programming language for writing safe smart contracts.
Programming Languages,Esolangs,https://github.com/angrykoala/awesome-esolangs#readme,Programming languages designed for experimentation or as jokes rather than actual use.
Front-End Development,ES6 Tools,https://github.com/addyosmani/es6-tools#readme,ES6 Tools
Front-End Development,Web Performance Optimization,https://github.com/davidsonfellipe/awesome-wpo#readme,Web Performance Optimization
Front-End Development,Web Tools,https://github.com/lvwzhen/tools#readme,Web Tools
Front-End Development,CSS,https://github.com/awesome-css-group/awesome-css#readme,Style sheet language that specifies how HTML elements are displayed on screen.
Front-End Development,React,https://github.com/enaqx/awesome-react#readme,JavaScript library for building user interfaces.
Front-End Development,Web Components,https://github.com/web-padawan/awesome-web-components#readme,Web Components
Front-End Development,Polymer,https://github.com/Granze/awesome-polymer#readme,JavaScript library to develop Web Components.
Front-End Development,Angular,https://github.com/PatrickJS/awesome-angular#readme,App framework.
Front-End Development,Backbone,https://github.com/sadcitizen/awesome-backbone#readme,App framework.
Front-End Development,HTML5,https://github.com/diegocard/awesome-html5#readme,Markup language used for websites & web apps.
Front-End Development,SVG,https://github.com/willianjusten/awesome-svg#readme,XML-based vector image format.
Front-End Development,Canvas,https://github.com/raphamorim/awesome-canvas#readme,Canvas
Front-End Development,KnockoutJS,https://github.com/dnbard/awesome-knockout#readme,JavaScript library.
Front-End Development,Dojo Toolkit,https://github.com/petk/awesome-dojo#readme,JavaScript toolkit.
Front-End Development,Inspiration,https://github.com/NoahBuscher/Inspire#readme,Inspiration
Front-End Development,Ember,https://github.com/ember-community-russia/awesome-ember#readme,App framework.
Front-End Development,Android UI,https://github.com/wasabeef/awesome-android-ui#readme,Android UI
Front-End Development,iOS UI,https://github.com/cjwirth/awesome-ios-ui#readme,iOS UI
Front-End Development,Meteor,https://github.com/Urigo/awesome-meteor#readme,Meteor
Front-End Development,BEM,https://github.com/sturobson/BEM-resources#readme,BEM
Front-End Development,Flexbox,https://github.com/afonsopacifer/awesome-flexbox#readme,Flexbox
Front-End Development,Web Typography,https://github.com/deanhume/typography#readme,Web Typography
Front-End Development,Web Accessibility,https://github.com/brunopulis/awesome-a11y#readme,Web Accessibility
Front-End Development,Material Design,https://github.com/sachin1092/awesome-material#readme,Material Design
Front-End Development,D3,https://github.com/wbkd/awesome-d3#readme,"Library for producing dynamic, interactive data visualizations."
Front-End Development,Emails,https://github.com/jonathandion/awesome-emails#readme,Emails
Front-End Development,jQuery,https://github.com/petk/awesome-jquery#readme,Easy to use JavaScript library for DOM manipulation.
Front-End Development,Web Audio,https://github.com/notthetup/awesome-webaudio#readme,Web Audio
Front-End Development,Offline-First,https://github.com/pazguille/offline-first#readme,Offline-First
Front-End Development,Static Website Services,https://github.com/agarrharr/awesome-static-website-services#readme,Static Website Services
Front-End Development,Cycle.js,https://github.com/cyclejs-community/awesome-cyclejs#readme,Functional and reactive JavaScript framework.
Front-End Development,Text Editing,https://github.com/dok/awesome-text-editing#readme,Text Editing
Front-End Development,Motion UI Design,https://github.com/fliptheweb/motion-ui-design#readme,Motion UI Design
Front-End Development,Vue.js,https://github.com/vuejs/awesome-vue#readme,App framework.
Front-End Development,Marionette.js,https://github.com/sadcitizen/awesome-marionette#readme,App framework.
Front-End Development,Aurelia,https://github.com/aurelia-contrib/awesome-aurelia#readme,App framework.
Front-End Development,Charting,https://github.com/zingchart/awesome-charting#readme,Charting
Front-End Development,Ionic Framework 2,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2
Front-End Development,Chrome DevTools,https://github.com/ChromeDevTools/awesome-chrome-devtools#readme,Chrome DevTools
Front-End Development,PostCSS,https://github.com/jdrgomes/awesome-postcss#readme,CSS tool.
Front-End Development,Draft.js,https://github.com/nikgraf/awesome-draft-js#readme,Rich text editor framework for React.
Front-End Development,Service Workers,https://github.com/TalAter/awesome-service-workers#readme,Service Workers
Front-End Development,Progressive Web Apps,https://github.com/TalAter/awesome-progressive-web-apps#readme,Progressive Web Apps
Front-End Development,choo,https://github.com/choojs/awesome-choo#readme,App framework.
Front-End Development,Redux,https://github.com/brillout/awesome-redux#readme,State container for JavaScript apps.
Front-End Development,Browserify,https://github.com/browserify/awesome-browserify#readme,Module bundler.
Front-End Development,Sass,https://github.com/Famolus/awesome-sass#readme,CSS preprocessor.
Front-End Development,Ant Design,https://github.com/websemantics/awesome-ant-design#readme,Enterprise-class UI design language.
Front-End Development,Less,https://github.com/LucasBassetti/awesome-less#readme,CSS preprocessor.
Front-End Development,WebGL,https://github.com/sjfricke/awesome-webgl#readme,JavaScript API for rendering 3D graphics.
Front-End Development,Preact,https://github.com/preactjs/awesome-preact#readme,App framework.
Front-End Development,Progressive Enhancement,https://github.com/jbmoelker/progressive-enhancement-resources#readme,Progressive Enhancement
Front-End Development,Next.js,https://github.com/unicodeveloper/awesome-nextjs#readme,Framework for server-rendered React apps.
Front-End Development,lit,https://github.com/web-padawan/awesome-lit#readme,Library for building web components with a declarative template system.
Front-End Development,JAMstack,https://github.com/automata/awesome-jamstack#readme,"Modern web development architecture based on client-side JavaScript, reusable APIs, and prebuilt markup."
Front-End Development,WordPress-Gatsby,https://github.com/henrikwirth/awesome-wordpress-gatsby#readme,Web development technology stack with WordPress as a back end and Gatsby as a front end.
Front-End Development,Mobile Web Development,https://github.com/myshov/awesome-mobile-web-development#readme,Creating a great mobile web experience.
Front-End Development,Storybook,https://github.com/lauthieb/awesome-storybook#readme,Development environment for UI components.
Front-End Development,Blazor,https://github.com/AdrienTorris/awesome-blazor#readme,.NET web framework using C#/Razor and HTML that runs in the browser with WebAssembly.
Front-End Development,PageSpeed Metrics,https://github.com/csabapalfi/awesome-pagespeed-metrics#readme,Metrics to help understand page speed and user experience.
Front-End Development,Tailwind CSS,https://github.com/aniftyco/awesome-tailwindcss#readme,Utility-first CSS framework for rapid UI development.
Front-End Development,Seed,https://github.com/seed-rs/awesome-seed-rs#readme,Rust framework for creating web apps running in WebAssembly.
Front-End Development,Web Performance Budget,https://github.com/pajaydev/awesome-web-performance-budget#readme,Techniques to ensure certain performance metrics for a website.
Front-End Development,Web Animation,https://github.com/sergey-pimenov/awesome-web-animation#readme,"Animations in the browser with JavaScript, CSS, SVG, etc."
Front-End Development,Yew,https://github.com/jetli/awesome-yew#readme,Rust framework inspired by Elm and React for creating multi-threaded frontend web apps with WebAssembly.
Front-End Development,Material-UI,https://github.com/nadunindunil/awesome-material-ui#readme,Material Design React components for faster and easier web development.
Front-End Development,Building Blocks for Web Apps,https://github.com/componently-com/awesome-building-blocks-for-web-apps#readme,Standalone features to be integrated into web apps.
Front-End Development,Svelte,https://github.com/TheComputerM/awesome-svelte#readme,App framework.
Front-End Development,Design systems,https://github.com/klaufel/awesome-design-systems#readme,"Collection of reusable components, guided by rules that ensure consistency and speed."
Front-End Development,Inertia.js,https://github.com/innocenzi/awesome-inertiajs#readme,Make single-page apps without building an API.
Front-End Development,MDBootstrap,https://github.com/mdbootstrap/awesome-mdbootstrap#readme,"Templates, layouts, components, and widgets to rapidly build websites."
Front-End Development,Master CSS,https://github.com/master-co/awesome-master-css#readme,A virtual CSS language with enhanced syntax.
Front-End Development,Hydrogen,https://github.com/shopify/awesome-hydrogen#readme,Edge-first framework for building Shopify storefronts with React.
Front-End Development,Tiny JS,https://github.com/thoughtspile/awesome-tiny-js#readme,Frontend libraries that fit into 2 kB with dependencies.
Back-End Development,Flask,https://github.com/mjhea0/awesome-flask#readme,Python framework.
Back-End Development,Docker,https://github.com/veggiemonk/awesome-docker#readme,Docker
Back-End Development,Vagrant,https://github.com/iJackUA/awesome-vagrant#readme,Automation virtual machine environment.
Back-End Development,Pyramid,https://github.com/uralbash/awesome-pyramid#readme,Python framework.
Back-End Development,Play1 Framework,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework
Back-End Development,CakePHP,https://github.com/friendsofcake/awesome-cakephp#readme,PHP framework.
Back-End Development,Symfony,https://github.com/sitepoint-editors/awesome-symfony#readme,PHP framework.
Back-End Development,Laravel,https://github.com/chiraggude/awesome-laravel#readme,PHP framework.
Back-End Development,Rails,https://github.com/gramantin/awesome-rails#readme,Web app framework for Ruby.
Back-End Development,Phalcon,https://github.com/phalcon/awesome-phalcon#readme,PHP framework.
Back-End Development,Useful `.htaccess` Snippets,https://github.com/phanan/htaccess#readme,Useful `.htaccess` Snippets
Back-End Development,nginx,https://github.com/fcambus/nginx-resources#readme,Web server.
Back-End Development,Dropwizard,https://github.com/stve/awesome-dropwizard#readme,Java framework.
Back-End Development,Kubernetes,https://github.com/ramitsurana/awesome-kubernetes#readme,Open-source platform that automates Linux container operations.
Back-End Development,Lumen,https://github.com/unicodeveloper/awesome-lumen#readme,PHP micro-framework.
Back-End Development,Serverless Framework,https://github.com/pmuens/awesome-serverless#readme,Serverless computing and serverless architectures.
Back-End Development,Apache Wicket,https://github.com/PhantomYdn/awesome-wicket#readme,Java web app framework.
Back-End Development,Vert.x,https://github.com/vert-x3/vertx-awesome#readme,Toolkit for building reactive apps on the JVM.
Back-End Development,Terraform,https://github.com/shuaibiyy/awesome-terraform#readme,"Tool for building, changing, and versioning infrastructure."
Back-End Development,Vapor,https://github.com/vapor-community/awesome-vapor#readme,Server-side development in Swift.
Back-End Development,Dash,https://github.com/ucg8j/awesome-dash#readme,Python web app framework.
Back-End Development,FastAPI,https://github.com/mjhea0/awesome-fastapi#readme,Python web app framework.
Back-End Development,CDK,https://github.com/kolomied/awesome-cdk#readme,Open-source software development framework for defining cloud infrastructure in code.
Back-End Development,IAM,https://github.com/kdeldycke/awesome-iam#readme,"User accounts, authentication and authorization."
Back-End Development,Slim,https://github.com/nekofar/awesome-slim#readme,PHP framework.
Back-End Development,Fiber,https://github.com/gofiber/awesome-fiber#readme,"Web framework built on top of Fasthttp, the fastest HTTP engine for Go."
Computer Science,University Courses,https://github.com/prakhar1989/awesome-courses#readme,University Courses
Computer Science,Data Science,https://github.com/academic/awesome-datascience#readme,Data Science
Computer Science,Machine Learning,https://github.com/josephmisiti/awesome-machine-learning#readme,Machine Learning
Computer Science,Speech and Natural Language Processing,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing
Computer Science,Linguistics,https://github.com/theimpossibleastronaut/awesome-linguistics#readme,Linguistics
Computer Science,Cryptography,https://github.com/sobolevn/awesome-cryptography#readme,Cryptography
Computer Science,Computer Vision,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision
Computer Science,Deep Learning,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Neural networks.
Computer Science,Deep Vision,https://github.com/kjw0612/awesome-deep-vision#readme,Deep Vision
Computer Science,Open Source Society University,https://github.com/ossu/computer-science#readme,Open Source Society University
Computer Science,Functional Programming,https://github.com/lucasviola/awesome-functional-programming#readme,Functional Programming
Computer Science,Empirical Software Engineering,https://github.com/dspinellis/awesome-msr#readme,Evidence-based research on software systems.
Computer Science,Static Analysis & Code Quality,https://github.com/analysis-tools-dev/static-analysis#readme,Static Analysis & Code Quality
Computer Science,Information Retrieval,https://github.com/harpribot/awesome-information-retrieval#readme,Learn to develop your own search engine.
Computer Science,Quantum Computing,https://github.com/desireevl/awesome-quantum-computing#readme,Computing which utilizes quantum mechanics and qubits on quantum computers.
Computer Science,Theoretical Computer Science,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,"The interplay of computer science and pure mathematics, distinguished by its emphasis on mathematical rigour and technique."
Computer Science,Conversational AI,https://github.com/jyguyomarch/awesome-conversational-ai#readme,Build awesome chatbots and digital assistants.
Computer Science,Generative AI,https://github.com/steven2358/awesome-generative-ai#readme,"Automatically generate a wide range of unique content in text, image and audio format."
Big Data,Big Data,https://github.com/0xnr/awesome-bigdata#readme,Big Data
Big Data,Public Datasets,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets
Big Data,Hadoop,https://github.com/youngwookim/awesome-hadoop#readme,Framework for distributed storage and processing of very large data sets.
Big Data,Data Engineering,https://github.com/igorbarinov/awesome-data-engineering#readme,Data Engineering
Big Data,Streaming,https://github.com/manuzhang/awesome-streaming#readme,Streaming
Big Data,Apache Spark,https://github.com/awesome-spark/awesome-spark#readme,Unified engine for large-scale data processing.
Big Data,Qlik,https://github.com/ambster-public/awesome-qlik#readme,"Business intelligence platform for data visualization, analytics, and reporting apps."
Big Data,Splunk,https://github.com/sduff/awesome-splunk#readme,"Platform for searching, monitoring, and analyzing structured and unstructured machine-generated big data in real-time."
Theory,Papers We Love,https://github.com/papers-we-love/papers-we-love#readme,Papers We Love
Theory,Talks,https://github.com/JanVanRyswyck/awesome-talks#readme,Talks
Theory,Algorithms,https://github.com/tayllan/awesome-algorithms#readme,Algorithms
Theory,Algorithm Visualizations,https://github.com/enjalot/algovis#readme,Algorithm Visualizations
Theory,Artificial Intelligence,https://github.com/owainlewis/awesome-artificial-intelligence#readme,Artificial Intelligence
Theory,Search Engine Optimization,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization
Theory,Competitive Programming,https://github.com/lnishan/awesome-competitive-programming#readme,Competitive Programming
Theory,Math,https://github.com/rossant/awesome-math#readme,Math
Theory,Recursion Schemes,https://github.com/passy/awesome-recursion-schemes#readme,Traversing nested data structures.
Theory,Audit Algorithms,https://github.com/erwanlemerrer/awesome-audit-algorithms#readme,Algorithmic audits of algorithms.
Theory,AGI & CoCoSci,https://github.com/YuzheSHI/awesome-agi-cocosci#readme,The reciprocation of Artificial General Intelligence (AGI) and Computational Cognitive Sciences (CoCoSci).
Theory,Complex Systems,https://github.com/sellisd/awesome-complexity#readme,The scientific field studying systems with multiple interacting parts and emergent properties.
Books,Free Programming Books,https://github.com/EbookFoundation/free-programming-books#readme,Free Programming Books
Books,Go Books,https://github.com/dariubs/GoBooks#readme,Go Books
Books,R Books,https://github.com/RomanTsegelskyi/rbooks#readme,R Books
Books,Mind Expanding Books,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books
Books,Book Authoring,https://github.com/TalAter/awesome-book-authoring#readme,Book Authoring
Books,Elixir Books,https://github.com/sger/ElixirBooks#readme,Elixir Books
Editors,Sublime Text,https://github.com/dreikanter/sublime-bookmarks#readme,Sublime Text
Editors,Vim,https://github.com/mhinz/vim-galore#readme,Vim
Editors,Neovim,https://github.com/rockerBOO/awesome-neovim#readme,Vim-fork focused on extensibility and usability.
Editors,Emacs,https://github.com/emacs-tw/awesome-emacs#readme,Emacs
Editors,Atom,https://github.com/mehcode/awesome-atom#readme,Open-source and hackable text editor.
Editors,Visual Studio Code,https://github.com/viatsko/awesome-vscode#readme,Cross-platform open-source text editor.
Gaming,Game Development,https://github.com/ellisonleao/magictools#readme,Game Development
Gaming,Game Talks,https://github.com/hzoo/awesome-gametalks#readme,Game Talks
Gaming,Godot,https://github.com/godotengine/awesome-godot#readme,Game engine.
Gaming,Open Source Games,https://github.com/michelpereira/awesome-open-source-games#readme,Open Source Games
Gaming,Unity,https://github.com/RyanNielson/awesome-unity#readme,Game engine.
Gaming,Chess,https://github.com/hkirat/awesome-chess#readme,Chess
Gaming,LÖVE,https://github.com/love2d-community/awesome-love2d#readme,Game engine.
Gaming,PICO-8,https://github.com/pico-8/awesome-PICO-8#readme,Fantasy console.
Gaming,Game Boy Development,https://github.com/gbdev/awesome-gbdev#readme,Game Boy Development
Gaming,Construct 2,https://github.com/ConstructCommunity/awesome-construct#readme,Game engine.
Gaming,Gideros,https://github.com/stetso/awesome-gideros#readme,Game engine.
Gaming,Minecraft,https://github.com/bs-community/awesome-minecraft#readme,Sandbox video game.
Gaming,ComputerCraft,https://github.com/tomodachi94/awesome-computercraft#readme,Minecraft mod that adds programmable computers.
Gaming,Game Datasets,https://github.com/leomaurodesenv/game-datasets#readme,Materials and datasets for Artificial Intelligence in games.
Gaming,Haxe Game Development,https://github.com/Dvergar/awesome-haxe-gamedev#readme,A high-level strongly typed programming language used to produce cross-platform native code.
Gaming,libGDX,https://github.com/rafaskb/awesome-libgdx#readme,Java game framework.
Gaming,PlayCanvas,https://github.com/playcanvas/awesome-playcanvas#readme,Game engine.
Gaming,Game Remakes,https://github.com/radek-sprta/awesome-game-remakes#readme,Actively maintained open-source game remakes.
Gaming,Flame,https://github.com/flame-engine/awesome-flame#readme,Game engine for Flutter.
Gaming,Discord Communities,https://github.com/mhxion/awesome-discord-communities#readme,Chat with friends and communities.
Gaming,CHIP-8,https://github.com/tobiasvl/awesome-chip-8#readme,Virtual computer game machine from the 70s.
Gaming,Games of Coding,https://github.com/michelpereira/awesome-games-of-coding#readme,Learn a programming language by making games.
Gaming,Esports,https://github.com/strift/awesome-esports#readme,Video games played as a sport.
Gaming,Learn Gamedev,https://github.com/notpresident35/awesome-learn-gamedev#readme,The craft of video game creation.
Gaming,Game Engine Development,https://github.com/stevinz/awesome-game-engine-dev#readme,Building software to speed up game creation.
Gaming,GameMaker,https://github.com/bytecauldron/awesome-gamemaker#readme,Game engine.
Gaming,Game Production,https://github.com/vhladiienko/awesome-game-production#readme,"Leading the process of designing, developing, testing and distributing a video game from concept to release."
Development Environment,Quick Look Plugins,https://github.com/sindresorhus/quick-look-plugins#readme,For macOS.
Development Environment,Dev Env,https://github.com/jondot/awesome-devenv#readme,Dev Env
Development Environment,Dotfiles,https://github.com/webpro/awesome-dotfiles#readme,Dotfiles
Development Environment,Shell,https://github.com/alebcay/awesome-shell#readme,Shell
Development Environment,Fish,https://github.com/jorgebucaran/awsm.fish#readme,User-friendly shell.
Development Environment,Command-Line Apps,https://github.com/agarrharr/awesome-cli-apps#readme,Command-Line Apps
Development Environment,ZSH Plugins,https://github.com/unixorn/awesome-zsh-plugins#readme,ZSH Plugins
Development Environment,GitHub,https://github.com/phillipadsmith/awesome-github#readme,Hosting service for Git repositories.
Development Environment,Git Cheat Sheet & Git Flow,https://github.com/arslanbilal/git-cheat-sheet#readme,Git Cheat Sheet & Git Flow
Development Environment,Git Tips,https://github.com/git-tips/tips#readme,Git Tips
Development Environment,Git Add-ons,https://github.com/stevemao/awesome-git-addons#readme,Enhance the `git` CLI.
Development Environment,Git Hooks,https://github.com/compscilauren/awesome-git-hooks#readme,Scripts for automating tasks during `git` workflows.
Development Environment,SSH,https://github.com/moul/awesome-ssh#readme,SSH
Development Environment,FOSS for Developers,https://github.com/tvvocold/FOSS-for-Dev#readme,FOSS for Developers
Development Environment,Hyper,https://github.com/bnb/awesome-hyper#readme,Cross-platform terminal app built on web technologies.
Development Environment,PowerShell,https://github.com/janikvonrotz/awesome-powershell#readme,Cross-platform object-oriented shell.
Development Environment,Alfred Workflows,https://github.com/alfred-workflows/awesome-alfred-workflows#readme,Productivity app for macOS.
Development Environment,Terminals Are Sexy,https://github.com/k4m4/terminals-are-sexy#readme,Terminals Are Sexy
